id,name,mean,std
Channel_0, T3_x,5.4407711,0.23447812
Channel_1,T3_y,-0.27898258,0.36468571
Channel_2, T2_x,3.9024611,0.26328212
Channel_3, T2_y,0.090298139,0.36061752
Channel_4, T1_x,2.2748213,0.29636797
Channel_5, T1_y,-0.4949339,0.35181117
Channel_6, JAW_x,0.82840538,0.10958058
Channel_7, JAW_y,-2.8019209,0.17777267
Channel_8, UL_x,-1.0039096,0.061715364
Channel_9, UL_y,-0.083905414,0.08368735
Channel_10, LL_x,-0.67326981,0.13718791
Channel_11, LL_y,-2.5571942,0.25248423
Channel_12, T3_x_d,-3.75E-06,0.014615776
Channel_13, T3_y_d,-9.38E-05,0.021447882
Channel_14, T2_x_d,0.000150944,0.015778411
Channel_15, T2_y_d,-3.32E-05,0.021400105
Channel_16, T1_x_d,0.000183569,0.018709881
Channel_17, T1_y_d,0.000306411,0.024965279
Channel_18, JAW_x_d,-2.11E-06,0.006592435
Channel_19, JAW_y_d,0.000112047,0.013226513
Channel_20, UL_x_d,6.51E-05,0.00376313
Channel_21, UL_y_d,9.90E-05,0.005116226
Channel_22, LL_x_d,4.64E-05,0.008533087
Channel_23, LL_y_d,-1.00E-04,0.021444561
Channel_24, T3_x_dd,8.83E-06,0.002206349
Channel_25, T3_y_dd,-6.11E-06,0.002927356
Channel_26, T2_x_dd,7.50E-06,0.002213629
Channel_27, T2_y_dd,-4.00E-06,0.002780781
Channel_28, T1_x_dd,3.22E-06,0.002594448
Channel_29, T1_y_dd,1.45E-06,0.004181432
Channel_30, JAW_x_dd,2.76E-06,0.001539078
Channel_31, JAW_y_dd,2.39E-06,0.001875193
Channel_32, UL_x_dd,-4.10E-07,0.000796273
Channel_33, UL_y_dd,-1.08E-06,0.00096742
Channel_34, LL_x_dd,-5.38E-07,0.001230316
Channel_35, LL_y_dd,1.00E-05,0.003279463
